Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Acer Aspire VX5-591G-73FR,2017,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Mobile,8 GB  , 128 GB SSD + 1 TB HDD / 5400 rpm,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, LED",2.5 kg ( = 88.19 oz / 5.51 pounds) ( = 0 oz / 0 pounds),
Acer Predator Helios 300 PH317-51-78H7,2017,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Ti Mobile,8 GB  , 1 TB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.56 kg ( = 90.3 oz / 5.64 pounds) ( = 0 oz / 0 pounds),
Acer Aspire E5-575G-36VF,2017,Intel Core i3-6006U,NVIDIA GeForce 940MX,4 GB  , 128 GB SSD + 500 GB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: yes",2.39 kg ( = 84.3 oz / 5.27 pounds) ( = 0 oz / 0 pounds),
Asus ASUSPRO P541UA-GQ1532,2017,Intel Core i3-6006U,Intel HD Graphics 520,"8 GB  ,, DDR4-2133, single-channel, no memory banks, soldered memory","SK Hynix HFS128G32TND, 128 GB  ","15.60 inch 16:9, 1366 x 768 pixel 100 PPI, BOE NT156WHM-N42, TN LED, glossy: no","2 kg ( = 70.55 oz / 4.41 pounds), Power Supply: 171 g ( = 6.03 oz / 0.38 pounds)",399 Euro
Dell Vostro 15 3568-N008VN3568EMEA01,2017,Intel Core i5-7200U,Intel HD Graphics 620,4 GB  , 1000 GB HDD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, glossy: no",2.18 g ( = 0.08 oz / 0 pounds) ( = 0 oz / 0 pounds),
Acer Aspire V17 Nitro VN7-792G-70GT,2017,Intel Core i7-6700HQ,NVIDIA GeForce 945M,, 1 TB HDD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",3 kg ( = 105.82 oz / 6.61 pounds) ( = 0 oz / 0 pounds),
Acer TravelMate P238-M-718K,2017,Intel Core i7-6500U,Intel HD Graphics 520,8 GB  , 256 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, IPS, glossy: no",1.6 kg ( = 56.44 oz / 3.53 pounds) ( = 0 oz / 0 pounds),
Dell Inspiron 13-5378-8937,2017,Intel Core i5-7200U,Intel HD Graphics 620,8 GB  , 1 TB HDD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, IPS, glossy: yes",1.7 kg ( = 59.97 oz / 3.75 pounds) ( = 0 oz / 0 pounds),
Dell Latitude 14 5480-9187,2017,Intel Core i5-7440HQ,NVIDIA GeForce 930MX,"8 GB  ,, DDR4 2400MHz", 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",1.6 kg ( = 56.44 oz / 3.53 pounds) ( = 0 oz / 0 pounds),
Acer TravelMate X3 X349-G2-M,2017,Intel Core i7-7500U,Intel HD Graphics 620,8 GB  , 512 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.56 kg ( = 55.03 oz / 3.44 pounds) ( = 0 oz / 0 pounds),
Acer Aspire F5-771G-31JJ,2017,Intel Core i3-7100U,NVIDIA GeForce 940MX,"4 GB  ,, DDR4 2133 MHz", 1000 GB HDD 5400 rpm,"17.30 inch 16:9, 1600 x 900 pixel 106 PPI, LED, glossy: yes",2.9 kg ( = 102.29 oz / 6.39 pounds) ( = 0 oz / 0 pounds),
Acer Aspire E5-553G-T509,2017,AMD A10-9600P,AMD Radeon R7 M440,4 GB  , 500 GB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.4 kg ( = 84.66 oz / 5.29 pounds) ( = 0 oz / 0 pounds),
Acer Aspire ES1-572-31N1,2017,Intel Core i3-6100U,Intel HD Graphics 520,"4 GB  ,, DDR3", 500 GB HDD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, TN, glossy: yes",2.4 kg ( = 84.66 oz / 5.29 pounds) ( = 0 oz / 0 pounds),
Acer Predator 17 G9-793-78RN,2017,Intel Core i7-6700HQ,NVIDIA GeForce GTX 1070 Mobile,"16 GB  ,, DDR4 2133 MHz"," 1000 GB HDD 5400 rpm, 256 GB SSD","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",4.2 kg ( = 148.15 oz / 9.26 pounds) ( = 0 oz / 0 pounds),
Acer Aspire 3 A315-51-30YA,2018,Intel Core i3-8130U,Intel UHD Graphics 620,"4.1 GB  ,, DDR4-2400, Single Channel, one RAM slot (unoccupied), 4 GB RAM soldered","Kingston RBUSNS8180S3128GI1, 128 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Chi Mei N156HGA-EAB, TN LED, glossy: no","2.1 kg ( = 74.08 oz / 4.63 pounds), Power Supply: 270 g ( = 9.52 oz / 0.6 pounds)",429 Euro
Acer Aspire Nitro 5 AN515-52-76N6,2018,Intel Core i7-8750H,NVIDIA GeForce GTX 1050 Mobile,8 GB  , 1 TB HDD + 128 GB SDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.7 kg ( = 95.24 oz / 5.95 pounds) ( = 0 oz / 0 pounds),
Acer Aspire 7 A717-71G-74LF,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Ti Mobile,8 GB  , 1 TB HDD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",2.995 kg ( = 105.65 oz / 6.6 pounds) ( = 0 oz / 0 pounds),
Purism Librem 13,2018,Intel Core i7-6500U,Intel HD Graphics 520,"7.7 GB  ,, DDR4, 2133 MHz"," Intel SSD 520 120 GB, 116.2 GB free","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, CMN LCD Monitor, IPS, glossy: yes","1.4 kg ( = 49.38 oz / 3.09 pounds), Power Supply: 650 g ( = 22.93 oz / 1.43 pounds)",1468 USD
Acer Aspire 7 A717-72G-7600,2018,Intel Core i7-8750H,NVIDIA GeForce GTX 1050 Mobile,8 GB  , 1 TB HDD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI",3 kg ( = 105.82 oz / 6.61 pounds) ( = 0 oz / 0 pounds),
Acer Aspire Nitro 5 AN515-31-561Q,2018,Intel Core i5-8250U,NVIDIA GeForce MX150,8 GB  , 256 GB NVMe SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",2.7 kg ( = 95.24 oz / 5.95 pounds) ( = 0 oz / 0 pounds),
Acer Aspire 3 A315-39,2018,Intel Core i3-8130U,Intel UHD Graphics 620,4 GB  , 128 GB SSD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, TN, glossy: no",2.1 kg ( = 74.08 oz / 4.63 pounds) ( = 0 oz / 0 pounds),
Acer Aspire 3 A315-51-30YA,2018,Intel Core i3-8130U,Intel UHD Graphics 620,"4.1 GB  ,, DDR4-2400, Single Channel, one RAM slot (unoccupied), 4 GB RAM soldered","Kingston RBUSNS8180S3128GI1, 128 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Chi Mei N156HGA-EAB, TN LED, glossy: no","2.1 kg ( = 74.08 oz / 4.63 pounds), Power Supply: 270 g ( = 9.52 oz / 0.6 pounds)",429 Euro
Acer Aspire 5 A515-51G-35NN,2018,Intel Core i3-6006U,NVIDIA GeForce 940MX,4 GB  , 1000 GB HDD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",2.2 kg ( = 77.6 oz / 4.85 pounds) ( = 0 oz / 0 pounds),
Acer Aspire 5 A515-44-R8VV,2020,AMD Ryzen 7 4700U,AMD Radeon RX Vega 7,"8 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no, 60 Hz",1.8 kg ( = 63.49 oz / 3.97 pounds) ( = 0 oz / 0 pounds),450 Euro
Acer Aspire 7 A715-41G-R5LR,2020,AMD Ryzen 5 3550H,NVIDIA GeForce GTX 1650 Mobile,"8 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no, 60 Hz",2.35 kg ( = 82.89 oz / 5.18 pounds) ( = 0 oz / 0 pounds),700 Euro
Acer Nitro 5 AN517-52-7995,2020,Intel Core i7-10750H,NVIDIA GeForce GTX 1650 Mobile,"8 GB  ,, DDR4", 512GB SSD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no, 120 Hz",2.2 kg ( = 77.6 oz / 4.85 pounds) ( = 0 oz / 0 pounds),1000 Euro
Asus K543UA-GQ3203,2020,Intel Core i3-6100U,Intel HD Graphics 520,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI",1.9 kg ( = 67.02 oz / 4.19 pounds) ( = 0 oz / 0 pounds),
Acer Aspire 5 A515-55-50QW,2020,Intel Core i5-1035G1,Intel UHD Graphics G1 (Ice Lake 32 EU),"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no, 144 Hz",1.8 kg ( = 63.49 oz / 3.97 pounds) ( = 0 oz / 0 pounds),600 Euro
Acer Nitro 5 AN515-45-R36S,2021,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3080 Laptop GPU,"16 GB  ,, DDR4", 1TB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no, 144 Hz",2.3 kg ( = 81.13 oz / 5.07 pounds) ( = 0 oz / 0 pounds),
Acer Nitro 5 AN515-57-56HH,2021,Intel Core i5-11400H,NVIDIA GeForce RTX 3050 Laptop GPU,"8 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no, 144 Hz",2.3 kg ( = 81.13 oz / 5.07 pounds) ( = 0 oz / 0 pounds),920 Euro
Acer Extensa 15 EX215-54-5103,2022,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 80EUs,"8 GB  ,, DDR4-3200, Single-Channel-Mode, one memory slot (empty), 8 GB onboard",", 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, AU Optronics B156HTN06.1, TN LED, glossy: no, 60 Hz","1.9 kg ( = 67.02 oz / 4.19 pounds), Power Supply: 262 g ( = 9.24 oz / 0.58 pounds)",599 Euro
"HP Dev One, Ryzen 7 PRO 5850U",2022,AMD Ryzen 7 PRO 5850U,AMD Radeon RX Vega 8 (Ryzen 4000/5000),"16 GB  ,, DDR4-3200", 1 TB PCIe 3x4 NVMe M.2 2280 SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI",1.47 kg ( = 51.85 oz / 3.24 pounds) ( = 0 oz / 0 pounds),
NX.A82EV.00H,2022,AMD Ryzen 7 5700U,AMD Radeon RX Vega 8 (Ryzen 4000/5000),"8 GB  ,, DDR4 SDRAM single-channel",", 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel, CEC PANDA LM156LF-CL13, IPS, glossy: no, 60 Hz","1.724 kg ( = 60.81 oz / 3.8 pounds), Power Supply: 273 g ( = 9.63 oz / 0.6 pounds)",629 Euro
Acer Swift 3 SF314-43-R8BP,2022,AMD Ryzen 5 5500U,AMD Radeon RX Vega 7,"16 GB  ,, DDR4 Dual Channel, onboard, no upgrade",", 512 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Chi Mei N140HCA EAC CMN, IPS, glossy: no, 60 Hz","1.319 kg ( = 46.53 oz / 2.91 pounds), Power Supply: 313 g ( = 11.04 oz / 0.69 pounds)",750 Euro
