Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Apple MacBook Air 11 inch 2010-10,2010,Intel Core 2 Duo SU9400,NVIDIA GeForce 320M,"2048 MB  ,, DDR3, non removable","Toshiba THNSNC128GMDJ, 128 GB  ","11.60 inch 16:9, 1366 x 768 pixel, LED Backlight, LTH116AT01A01, glossy: yes","1.062 kg ( = 37.46 oz / 2.34 pounds), Power Supply: 185 g ( = 6.53 oz / 0.41 pounds)",1200 Euro
Apple MacBook Pro 13 inch 2010-04,2010,Intel Core 2 Duo P8600,NVIDIA GeForce 320M,"4 GB  ,, DDR3",", 250 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy: yes",2.04 kg ( = 71.96 oz / 4.5 pounds) ( = 0 oz / 0 pounds),1149 Euro
Apple Macbook Air 13 inch 2010-10,2010,Intel Core 2 Duo SL9400,NVIDIA GeForce 320M,"2048 MB  ,, DDR3 soldered",,"13.30 inch 16:10, 1440 x 900 pixel, LED backlight, LTH133BT01A01 (9CF0), glossy: yes","1.327 kg ( = 46.81 oz / 2.93 pounds), Power Supply: 185 g ( = 6.53 oz / 0.41 pounds)",1599 Euro
Apple MacBook Air 11 inch 2010-10,2010,Intel Core 2 Duo SU9400,NVIDIA GeForce 320M,"2048 MB  ,, DDR3, non removable","Toshiba THNSNC128GMDJ, 128 GB  ","11.60 inch 16:9, 1366 x 768 pixel, LED Backlight, LTH116AT01A01, glossy: yes","1.062 kg ( = 37.46 oz / 2.34 pounds), Power Supply: 185 g ( = 6.53 oz / 0.41 pounds)",1200 Euro
MBP17,2010,Intel Core i5-540M,NVIDIA GeForce GT 330M,"4 GB  ,, DDR3 PC3-8500F","Hitachi Travelstar 5K500.B HTS545050B9SA02, 500 GB  ","17.00 inch 16:10, 1920 x 1200 pixel, Samsung LTN170CT10 Panel, Wide Color Gamut, glass plate in front of the screen, glossy: yes","2.99 kg ( = 105.47 oz / 6.59 pounds), Power Supply: 455 g ( = 16.05 oz / 1 pounds)",2265 Euro
Apple MacBook Pro 15 inch 2010-04,2010,Intel Core i5-520M,NVIDIA GeForce GT 330M,"4 GB  ,, DDR3",,"15.40 inch 16:10, 1440 x 900 pixel, glossy: yes",2.54 kg ( = 89.6 oz / 5.6 pounds) ( = 0 oz / 0 pounds),
Apple MacBook Pro 15 inch 2010-04 i7,2010,Intel Core i7-620M,NVIDIA GeForce GT 330M,"4 GB  ,, DDR3","Seagate Momentus 5400.6 ST9500325ASG, 500 GB  ","15.40 inch 16:10, 1440 x 900 pixel, glossy: yes","2.513 kg ( = 88.64 oz / 5.54 pounds), Power Supply: 474 g ( = 16.72 oz / 1.04 pounds)",2149 Euro
Apple MacBook 2010-05,2010,Intel Core 2 Duo P8600,NVIDIA GeForce 320M,"2048 MB  ,, DDR3",", 250 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy, panel: LTN133AT09, glossy: yes","2.173 kg ( = 76.65 oz / 4.79 pounds), Power Supply: 393 g ( = 13.86 oz / 0.87 pounds)",1015 Euro
Apple MacBook Pro 13 inch 2010-04 2.66 GHz,2010,Intel Core 2 Duo P8800,NVIDIA GeForce 320M,"4 GB  ,, DDR3","Seagate Momentus 5400.6 ST9320325AS, 320 GB  ","13.30 inch 16:10, 1280 x 800 pixel, Glass display surface, glossy: yes",2.04 kg ( = 71.96 oz / 4.5 pounds) ( = 0 oz / 0 pounds),1465 Euro
Apple MacBook 2010-05,2010,Intel Core 2 Duo P8600,NVIDIA GeForce 320M,"2048 MB  ,, DDR3",", 250 GB  ","13.30 inch 16:10, 1280 x 800 pixel, glossy, panel: LTN133AT09, glossy: yes","2.173 kg ( = 76.65 oz / 4.79 pounds), Power Supply: 393 g ( = 13.86 oz / 0.87 pounds)",1015 Euro
MBP17,2010,Intel Core i5-540M,NVIDIA GeForce GT 330M,"4 GB  ,, DDR3 PC3-8500F","Hitachi Travelstar 5K500.B HTS545050B9SA02, 500 GB  ","17.00 inch 16:10, 1920 x 1200 pixel, Samsung LTN170CT10 Panel, Wide Color Gamut, glass plate in front of the screen, glossy: yes","2.99 kg ( = 105.47 oz / 6.59 pounds), Power Supply: 455 g ( = 16.05 oz / 1 pounds)",2265 Euro
Apple MacBook Pro 15 inch 2010-04 i7,2010,Intel Core i7-620M,NVIDIA GeForce GT 330M,"4 GB  ,, DDR3","Seagate Momentus 5400.6 ST9500325ASG, 500 GB  ","15.40 inch 16:10, 1440 x 900 pixel, glossy: yes","2.513 kg ( = 88.64 oz / 5.54 pounds), Power Supply: 474 g ( = 16.72 oz / 1.04 pounds)",2149 Euro
Apple Macbook Air 13 inch 2011-07,2011,Intel Core i5-2557M,Intel HD Graphics 3000,"4 GB  ,, DDR3 1333MHz","Samsung SM256C, 256 GB  ","13.30 inch 16:10, 1440 x 900 pixel, LP133WP1-TJA3 , LED, glossy: yes","1.33 kg ( = 46.91 oz / 2.93 pounds), Power Supply: 190 g ( = 6.7 oz / 0.42 pounds)",1400 Euro
Apple Macbook Air 11 inch 2011-07 MC969D/A,2011,Intel Core i5-2467M,Intel HD Graphics 3000,"4 GB  ,, DDR3 1333MHz","Toshiba THNSNC128GMDJ, 128 GB  ","11.60 inch 16:9, 1366 x 768 pixel, LP116WH4-TJA3, LED, glossy: yes","1.07 kg ( = 37.74 oz / 2.36 pounds), Power Supply: 190 g ( = 6.7 oz / 0.42 pounds)",1149 Euro
Apple Macbook Pro 15 inch 2011-02 MC723LL/A,2011,Intel Core i7-2720QM,AMD Radeon HD 6750M,4 GB  ,"Toshiba MK7559GSXF, 750 GB  ","15.40 inch 3:2, 1440 x 900 pixel, glossy: yes",2.6 kg ( = 91.71 oz / 5.73 pounds) ( = 0 oz / 0 pounds),1800 Euro
Apple MacBook Pro 15 inch 2011-10 MD322,2011,Intel Core i7-2760QM,AMD Radeon HD 6770M,"4 GB  ,, DDR3","Toshiba MK7559GSXF, 750 GB  ","15.60 inch 16:10, 1440 x 900 pixel, LP154WP4-TLA1, glossy: yes","2.54 kg ( = 89.6 oz / 5.6 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",2149 Euro
Apple Macbook Pro 13 inch 2011-02 MC700D/A,2011,Intel Core i5-2415M,Intel HD Graphics 3000,"4 GB  ,, 2 x 2GB DDR3-10700, in 2 slots","Hitachi Travelstar 5K500.B HTS545032B9A302, 320 GB  ","13.30 inch 16:10, 1280 x 800 pixel, LP133WX3-TLA3, glossy: yes","2.04 kg ( = 71.96 oz / 4.5 pounds), Power Supply: 380 g ( = 13.4 oz / 0.84 pounds)",1149 Euro
Apple Macbook Air 11 inch 2011-07 MC969D/A,2011,Intel Core i5-2467M,Intel HD Graphics 3000,"4 GB  ,, DDR3 1333MHz","Toshiba THNSNC128GMDJ, 128 GB  ","11.60 inch 16:9, 1366 x 768 pixel, LP116WH4-TJA3, LED, glossy: yes","1.07 kg ( = 37.74 oz / 2.36 pounds), Power Supply: 190 g ( = 6.7 oz / 0.42 pounds)",1149 Euro
