Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
MSI Wind U135,2010,Intel Atom N450,Intel Graphics Media Accelerator (GMA) 3150,"1024 MB  ,, DDR2, max 2GB","Fujitsu MJA2250BH G2, 250 GB  ","10.10 inch 16:9, 1024 x 600 pixel, WSVGA LED TFT, glossy: yes","1.27 kg ( = 44.8 oz / 2.8 pounds), Power Supply: 330 g ( = 11.64 oz / 0.73 pounds)",300 Euro
Acer Iconia Tab W500,2011,AMD C-50,AMD Radeon HD 6250,,,"10.10 inch 16:10, 1280 x 800 pixel, glossy: yes",970 g ( = 34.22 oz / 2.14 pounds) ( = 0 oz / 0 pounds),500 Euro
LG S210-K.CBMAG,2010,Intel Core 2 Duo T9550,NVIDIA GeForce 9300M G,"4 GB  ,, PC3-8500 DDR3 SD RAM","320 GB - 5400 rpm, 320 GB  ","12.10 inch 16:9, 1280 x 800 pixel, Finebright, glossy: yes","1.765 kg ( = 62.26 oz / 3.89 pounds), Power Supply: 322 g ( = 11.36 oz / 0.71 pounds)",1450 Euro
Lenovo ThinkPad Edge 15,2010,Intel Core i3-350M,Intel Graphics Media Accelerator (GMA) HD Graphics,"4 GB  ,, Micron DDR3-1066, 2x 2 GB","320 GB - 7200 rpm, 320 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG Display LEN40B0 / LP156WH2-TLAA, LED backlight, glossy: yes","2.561 kg ( = 90.34 oz / 5.65 pounds), Power Supply: 321 g ( = 11.32 oz / 0.71 pounds)",700 Euro
Lenovo ThinkPad Edge 11,2010,Intel Core i3-380UM,Intel Graphics Media Accelerator (GMA) HD Graphics,"4 GB  ,, DDR3; PC-10700 (667 MHz)","Hitachi Travelstar 5K500.B HTS545032B9A300, 320 GB  ","11.60 inch 16:9, 1366 x 768 pixel, glossy: yes","1.53 kg ( = 53.97 oz / 3.37 pounds), Power Supply: 340 g ( = 11.99 oz / 0.75 pounds)",700 Euro
Lenovo Thinkpad T510 - 4349-4JG,2010,Intel Core i7-620M,NVIDIA NVS 3100M,"4 GB  ,, DDR3 PC3-8500F (533 MHz)","Seagate Momentus 7200.4 ST9320423AS, 320 GB  ","15.60 inch 16:9, 1600 x 900 pixel, LEN40B1, LP156WD1-TLB2, glossy: no","2.81 kg ( = 99.12 oz / 6.19 pounds), Power Supply: 450 g ( = 15.87 oz / 0.99 pounds)",1800 Euro
HP EliteBook 2540p,2010,Intel Core i7-640LM,Intel Graphics Media Accelerator (GMA) HD Graphics,"2048 MB  ,, 1333 MHz DDR3 SDRAM",", 160 GB  ","12.10 inch 16:10, 1280 x 800 pixel, ambient light sensor, glossy: no","1.833 kg ( = 64.66 oz / 4.04 pounds), Power Supply: 263 g ( = 9.28 oz / 0.58 pounds)",1599 Euro
HP Envy 14-1010eg,2010,Intel Core i5-520M,ATI Mobility Radeon HD 5650,"4 GB  ,, PC3-10600 DDR3, 2x2048MB, max. 8GB","Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","14.50 inch 16:9, 1600 x 900 pixel, LED HP Radiance Infinity Display, glossy: yes","2.39 kg ( = 84.3 oz / 5.27 pounds), Power Supply: 540 g ( = 19.05 oz / 1.19 pounds)",1299 Euro
HP ProBook 4720s-WT237EA/WS912EA,2010,Intel Core i5-460M,ATI Mobility Radeon HD 5470,4 GB  ,"Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","17.30 inch 16:9, 1600 x 900 pixel, LP173WD1-TLD3, WXGA++ , glossy: no","3.115 kg ( = 109.88 oz / 6.87 pounds), Power Supply: 350 g ( = 12.35 oz / 0.77 pounds)",899 Euro
HP Envy 14 Beats Edition,2010,Intel Core i5-560M,ATI Mobility Radeon HD 5650,"4 GB  ,, 1x4096MB, up to 8 GB DDR3","Seagate Momentus 7200.4 ST9500420AS, 500 GB  ","14.50 inch 16:9, 1366 x 768 pixel, PC3-10700, glossy: yes","2.562 kg ( = 90.37 oz / 5.65 pounds), Power Supply: 230 g ( = 8.11 oz / 0.51 pounds)",1800 Euro
