Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
VivoBook 17 F712JA,2022,Windows,core i7-1065g7,4,8,1.3,3.9,10,8.0,15 W,iris plus graphics g7,,,,300 MHz,System Shared,"16 GB  ,, DDR4-3200, dual-channel (1 slot + 8 GB soldered in), 22-22-22-52","Kingston OM8PCP3512F-AB, 512 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, BOE NV173FHM-N49, IPS, glossy: no, 60 Hz",2.2,799 Euro
Asus VivoBook 15 OLED M513UA-L1282W,2022,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4-3200, Dual-Channel-Mode, one memory slot (in use), 8 GB onboard",", 512 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Samsung ATNA56YX03-0, OLED, glossy: yes, 60 Hz",1.8,799 Euro
Asus ZenBook 14X OLED UX5400EA-L7154W,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,geforce mx450,2.0,GDDR6,64,1395 MHz,1250 MHz,"16 GB  ,, LPDDR4X, onboard,, 1024 GB  ,, M.2 2280, 735 GB free",", 1024 GB  ","14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, Multi-Touch, native pen support, Samsung SDC415B ATNA40YN04-0, OLED, VESA DisplayHDR True Black 500, 100% DCI-P3, Digitizer, glossy: yes, HDR, 90 Hz",1.437,
Asus TUF Gaming F17 FX707Z-HX011W,2022,Windows,core i7-12700h,14,20,2.3,4.7,10,24.0,45 W,geforce rtx 3060 mobile,6.0,GDDR6,192,900 MHz,1750 MHz,"16 GB  ,, 2x 8GB DDR5-4800 (2.400 MHz), up to 32 GB",", 1024 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, AU Optronics B173HAN04.9 (AUO4B9D), IPS, glossy: no, 144 Hz",2.515,1750 Euro
Asus TUF Gaming F15 FX507ZM,2022,Windows,core i7-12700h,14,20,2.3,4.7,10,24.0,45 W,geforce rtx 3060 mobile,6.0,GDDR6,192,900 MHz,1750 MHz,"16 GB  ,, SK Hynix, DDR5-4800, 2400 MHz, Dual-Channel, 40-39-39-76",", 1024 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TL156VDXP0101, IPS, glossy: no, 300 Hz",2.077,1500 USD
Asus ROG Zephyrus G14 GA402RK,2022,Windows,ryzen 9 6900hs,8,16,3.3,4.9,6,16.0,35 W,radeon rx 6800s,8.0,GDDR6,128,1800 MHz,2000 MHz,"32 GB  ,, 16 GB DDR5 on-board + 16 GB DDR5-4800 SO-DIMM",", 1024 GB  ","14.00 inch 16:10, 2560 x 1600 pixel 216 PPI, NE140QDM-NX1 (BOE0A1D), IPS-Level, FreeSync, Pantone Validated, WQXGA, glossy: no, HDR, 120 Hz",1.71,2299 EUR
Asus ROG Flow Z13 GZ301ZE,2022,Windows,core i9-12900h,14,20,2.5,5.0,10,24.0,45 W,geforce rtx 3050 ti mobile,4.0,GDDR6,128,735 MHz,1500 MHz,"16 GB  ,, LPDDR5-5200, dual-channel, onboard",", 1024 GB  ","13.40 inch 16:10, 1920 x 1200 pixel 169 PPI, capacitive, LQ134N1JW54, IPS, glossy: yes, detachable screen, HDR, 120 Hz",1.185,"2,100 Euro"
Asus ExpertBook B3 Flip B3402FEA,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4-3200, Single-Channel-Mode, 16 GB onboard, one memory slot (empty)",", 512 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, capacitive, 10 touchpoints, native pen support, AU Optronics B140HAN04.0, IPS, glossy: yes, 60 Hz",1.61,1499 Euro
Asus ExpertBook B7 Flip B7402FEA,2022,Windows,core i7-1195g7,4,8,2.9,5.0,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4-3200, single-channel mode, two memory slots (one in use)",", 1024 GB  ","14.00 inch 16:10, 1900 x 1200 pixel 161 PPI, capacitive, 10 touchpoints, native pen support, BOE CQ NE140WUM-N65, IPS, glossy: yes, 60 Hz",1.44,"2,500 Euro"
Asus Zephyrus G15 GA503RW-LN030W,2022,Windows,ryzen 9 6900hs,8,16,3.3,4.9,6,16.0,35 W,geforce rtx 3070 ti mobile,8.0,GDDR6,256,915 MHz,1750 MHz,"16 GB  ,, DDR5-4800", 1TB SSD,"15.60 inch 16:9, 2560 x 1440 pixel 188 PPI, IPS, glossy: no, 240 Hz",1.9,2650 Euro
Asus ZenBook S 13 UM5302TA,2022,Windows,ryzen 5 6600u,6,12,2.9,4.5,6,16.0,15 W,radeon 660m,,,,1500 MHz,System Shared,"8 GB  ,, DDR5", 512GB SSD,"13.30 inch 16:10, 2880 x 1800 pixel 255 PPI, Capacitive, OLED, glossy: yes, 60 Hz",1.095,
Asus Zenbook Pro 16X UX7602ZM-ME023W,2022,Windows,core i9-12900h,14,20,2.5,5.0,10,24.0,45 W,geforce rtx 3060 mobile,6.0,GDDR6,192,900 MHz,1750 MHz,"32 GB  ,, DDR5", 2TB SSD,"16.00 inch 16:10, 3840 x 2400 pixel 283 PPI, glossy: yes, 90 Hz",2.4,
Asus Zenbook Pro 16X UX7602ZM-ME008X,2022,Windows,core i7-12700h,14,20,2.3,4.7,10,24.0,45 W,geforce rtx 3060 mobile,6.0,GDDR6,192,900 MHz,1750 MHz,"16 GB  ,, DDR5", 1 TB SSD,"16.00 inch 16:10, 3840 x 2400 pixel 283 PPI, Capacitive, OLED, glossy: yes, 90 Hz",2.4,
Asus ZenBook Pro 14 Duo UX8402ZE-M3075W,2022,Windows,core i7-12700h,14,20,2.3,4.7,10,24.0,45 W,geforce rtx 3050 ti mobile,4.0,GDDR6,128,735 MHz,1500 MHz,"16 GB  ,, DDR5", 1TB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, Capacitive, OLED, Sub-display: 12.7 inch, IPS, 2880x864, 120 Hz, glossy: yes, 120 Hz",1.75,
Asus Zenbook Pro 14 Duo UX8402ZE-M3030W,2022,Windows,core i9-12900h,14,20,2.5,5.0,10,24.0,45 W,geforce rtx 3050 ti mobile,4.0,GDDR6,128,735 MHz,1500 MHz,"32 GB  ,, DDR5", 2TB SSD,"14.50 inch 16:10, 2880 x 1800 pixel 234 PPI, Capacitive, native pen support, OLED, Sub-display: 12.7 inch, IPS, 2880x864, glossy: yes, 120 Hz",1.75,2600 Euro
"Asus ZenBook Flip 14 UP5401ZA, i5-12500H",2022,Windows,core i5-12500h,12,16,2.5,4.5,10,18.0,45 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR5-3200", 512GB SSD,"14.00 inch 16:9, 2880 x 1800 pixel 243 PPI, Capacitive, OLED, glossy: yes",1.4,
Asus ZenBook Flip 14 UP5401EA-KU030T,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4-4266", 1TB SSD,"14.00 inch 16:10, 3840 x 2400 pixel 323 PPI, Capacitive, OLED, glossy: yes, 60 Hz",1.4,
Asus ZenBook Flip 14 UN5401QA-K181W,2022,Windows,ryzen 9 5900hx,8,16,3.3,4.6,7,16.0,45 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4-2666", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, Capacitive, OLED, glossy: yes, 90 Hz",1.4,1250 Euro
Asus ZenBook Flip 13 UX363EA-HP525T,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4-4266", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Capacitive, OLED, glossy: yes, 60 Hz",1.3,1800 Euro
Asus ZenBook Flip 13 UX363EA-HP043T,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, Capacitive, OLED, glossy: yes, 60 Hz",1.3,900 Euro
Asus ZenBook Flip 13 UX363EA-AH74T,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4-4266", 1TB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, Capacitive, OLED, glossy: yes, 60 Hz",1.3,1150 Euro
Asus ZenBook 14X UX5401ZA-L7078W,2022,Windows,core i9-12900h,14,20,2.5,5.0,10,24.0,45 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"32 GB  ,, DDR5", 1TB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, 90 Hz",1.4,1800 Euro
Asus ZenBook 14X UX5401ZA-KP005W,2022,Windows,core i5-12500h,12,16,2.5,4.5,10,18.0,45 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"16 GB  ,, DDR5", 512GB SSD,"14.00 inch 16:10, 2560 x 1600 pixel 216 PPI, IPS, glossy: no, 60 Hz",1.4,1100 Euro
"Asus Zenbook 14X UX5400EG, i5-1135G7",2022,Windows,core i5-1135g7,4,8,2.4,4.2,10,8.0,28 W,geforce mx450,2.0,GDDR6,64,1395 MHz,1250 MHz,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, SAMSUNG SDC4154, ATNA40YK04-0, OLED, 90 Hz",1.4,
"Asus Zenbook 14X OLED Space Edition, i7-12700H",2022,Windows,core i7-12700h,14,20,2.3,4.7,10,24.0,45 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR5", up to 1TB M.2 NVMe PCIe 4.0 Performance SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, Optional, OLED, glossy: yes, 90 Hz",1.4,
Asus ZenBook 14 UX425EA-KI359T,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no, 60 Hz",1.17,
"Asus Zenbook 14 UX3402ZA, i5-1240P",2022,Windows,core i5-1240p,12,16,1.7,4.4,10,12.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,16 GB  , 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.39,
"Asus Zenbook 14 UX3402, i7-1260P",2022,Windows,core i7-1260p,12,16,2.1,4.7,10,18.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,16 GB  , 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.39,
Asus ZenBook 14 UM425UAZ-KI035T,2022,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no, 60 Hz",1.13,
Asus Zenbook 14 UM425UAZ-KI016T,2022,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no, 60 Hz",1.22,
Asus ZenBook 14 UM3402YA-KM115W,2022,Windows,ryzen 7 5825u,8,16,2.0,4.5,7,16.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4", 1TB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.39,
Asus ZenBook 14 UM3402YA-KM067W,2022,Windows,ryzen 7 5825u,8,16,2.0,4.5,7,16.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.39,1160 Euro
Asus VivoBook S15 S533EA-L11012T,2022,Windows,core i5-1135g7,4,8,2.4,4.2,10,8.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.8,
Asus VivoBook S14 S435EA-KC035T,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 1TB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no, 60 Hz",1.3,
Asus VivoBook S14 S433EA-EB1150T,2022,Windows,core i7-1165g7,4,8,2.8,4.7,10,12.0,28 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no",1.4,
Asus VivoBook S14 S433EA-AM464T,2022,Windows,core i5-1135g7,4,8,2.4,4.2,10,8.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: no, 60 Hz",1.4,
"Asus VivoBook S 14 S3402, i7-12700H",2022,Windows,core i7-12700h,14,20,2.3,4.7,10,24.0,45 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED",1.5,
"Asus VivoBook S 14 S3402, i7-12500H",2022,Windows,core i5-12500h,12,16,2.5,4.5,10,18.0,45 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4-3200", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, 90 Hz",1.5,
"Asus Vivobook S 14 K3402ZA, i5-12500H",2022,Windows,core i5-12500h,12,16,2.5,4.5,10,18.0,45 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4", Up to 1TB M.2 NVMe,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.5,
Asus Vivobook Pro 16X-M7600QE,2022,Windows,ryzen 9 5900hx,8,16,3.3,4.6,7,16.0,45 W,geforce rtx 3050 ti mobile,4.0,GDDR6,128,735 MHz,1500 MHz,"32 GB  ,, soldered",", 1024 GB  ","16.10 inch 16:10, 3840 x 2400 pixel 281 PPI, Samsung ATNA60YV02-0, OLED, glossy: yes, 60 Hz",1.911,
Asus Vivobook Pro 16X N7600PC-L2012R,2022,Windows,core i5-11300h,4,8,4.4,,10,8.0,32 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4-3200", 512GB SSD,"16.10 inch 16:10, 3840 x 2400 pixel 281 PPI, OLED, glossy: yes",1.95,
Asus VivoBook Pro 16X N7600PC-L2010W,2022,Windows,core i7-11370h,4,8,4.8,,10,12.0,32 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,16 GB  , 1TB SSD,"16.10 inch 16:10, 3840 x 2400 pixel 281 PPI, glossy: yes, 120 Hz",1.95,1300 Euro
Asus Vivobook Pro 16X M7600QC-L2002T,2022,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16.0,45 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4-3200", 1TB SSD,"16.00 inch 16:9, 3840 x 2160 pixel 275 PPI, OLED, glossy: yes, 60 Hz",1.95,1200 Euro
Asus VivoBook Pro 15 M3500QC-L1297W,2022,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16.0,45 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.65,1000 Euro
Asus VivoBook Pro 15 M3500QC-KJ161T,2022,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16.0,45 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, glossy: no",1.68,
Asus VivoBook Pro 15 M3500QA-L1149T,2022,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16.0,45 W,radeon rx vega 6,,,,1500 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.65,1100 Euro
Asus VivoBook Pro 15 M3500QA-L1082W,2022,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16.0,45 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4", 1TB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.65,
Asus VivoBook Pro 15 M3500-L1179T,2022,Windows,ryzen 9 5900hx,8,16,3.3,4.6,7,16.0,45 W,geforce rtx 3050 ti mobile,4.0,GDDR6,128,735 MHz,1500 MHz,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes",1.65,
Asus VivoBook Pro 15 K3500PC-L1009T,2022,Windows,core i5-11300h,4,8,4.4,,10,8.0,32 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.65,1200 Euro
"Asus VivoBook Pro 15 K3500PC, i7-11370H RTX 3050",2022,Windows,core i7-11370h,4,8,4.8,,10,12.0,32 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.65,
Asus VivoBook Pro 15 K3500PA-L1077T,2022,Windows,core i7-11370h,4,8,4.8,,10,12.0,32 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.65,1200 Euro
Asus VivoBook Pro 15 D3500QC-L1103T,2022,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16.0,45 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 1TB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.65,1400 Euro
Asus VivoBook Pro 14X N7400PC-KM142W,2022,Windows,core i7-11370h,4,8,4.8,,10,12.0,32 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 1TB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.45,1650 Euro
Asus VivoBook Pro 14X N7400PC-KM012T,2022,Windows,core i7-11370h,4,8,4.8,,10,12.0,32 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.45,
"Asus VivoBook Pro 14X M7400QC, 5600H RTX 3050",2022,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16.0,45 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4-2666", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.45,1100 Euro
"Asus Vivobook Pro 14X M7400, 5800H 3050",2022,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16.0,45 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4-3200", 1TB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.45,
Asus VivoBook Pro 14 M3401QC-KM007W,2022,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16.0,45 W,geforce rtx 3050 mobile,4.0,GDDR6,128,712 MHz,1500 MHz,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:10, 2880 x 1080 pixel 220 PPI, OLED, glossy: yes, 90 Hz",1.45,1000 Euro
"Asus Vivobook Pro 14 M3400, R7 5800H",2022,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16.0,45 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 60 Hz",1.4,
"Asus Vivobook Pro 14 M3400, R5 5600H",2022,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16.0,45 W,radeon rx vega 7,,,,1800 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 60 Hz",1.4,
Asus Vivobook Pro 14 K3400PA-WH51,2022,Windows,core i5-11300h,4,8,4.4,,10,8.0,32 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,8 GB  ,"256 GB NVMe, 256 GB  ","14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes",1.4,650 Euro
"Asus Vivobook Pro 14 K3400PA, i7-11370H",2022,Windows,core i7-11370h,4,8,4.8,,10,12.0,32 W,iris xe graphics g7 96eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 1TB SSD,"14.00 inch 16:10, 2880 x 1800 pixel 243 PPI, OLED, glossy: yes, 90 Hz",1.4,
"Asus Vivobook Pro 14 K3400, i5-11300H GTX 1650",2022,Windows,core i5-11300h,4,8,4.4,,10,8.0,32 W,geforce gtx 1650 mobile,4.0,GDDR5,128,1395 MHz,2001 MHz,"16 GB  ,, DDR4-3200", 512GB SSD,"14.00 inch 16:10, 2800 x 1800 pixel 238 PPI, OLED, glossy: yes, 90 Hz",1.4,
Asus Vivobook Go 14X E410MA-EB1272WS,2022,Windows,celeron n4500,2,2,1.1,2.8,10,4.0,6 W,uhd graphics,,,,300 MHz,System Shared,"4 GB  ,, DDR4", 128 GB,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, LED, glossy: no, 60 Hz",1.3,350 Euro
Asus VivoBook Flip 14 TP470EA-EC163T,2022,Windows,core i5-1135g7,4,8,2.4,4.2,10,8.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, IPS, glossy: yes, 60 Hz",1.5,
Asus VivoBook Flip 14 TP470EA-EC084T,2022,Windows,core i5-1135g7,4,8,2.4,4.2,10,8.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, IPS, glossy: yes, 60 Hz",1.5,
Asus VivoBook Flip 14 TP470EA-AS34T,2022,Windows,core i3-1115g4,2,4,3.0,4.1,10,6.0,28 W,uhd graphics xe g4 48eus,,,,1450 MHz,System Shared,"4 GB  ,, DDR4", 128GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, IPS, glossy: yes, 60 Hz",1.5,400 Euro
Asus VivoBook Flip 14 TP412FA-EC641T,2022,Windows,core i3-10110u,2,4,2.1,4.1,14,4.0,25 W,uhd graphics 620,,,,300 MHz,System Shared,"8 GB  ,, DDR4-2400","256 GB NVMe, 256 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, IPS, glossy: yes, 60 Hz",1.5,
Asus VivoBook Flip 14 TM420UA-EC110T,2022,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"8 GB  ,, DDR4-3200", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, glossy: yes, 60 Hz",1.5,
Asus VivoBook Flip 14 TM420IA-EC230T,2022,Windows,ryzen 7 4700u,8,8,1.8,4.2,7,12.0,25 W,radeon rx vega 7,,,,1800 MHz,System Shared,"8 GB  ,, DDR4", 512GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, Capacitive, IPS, glossy: yes, 60 Hz",1.5,
"Asus Vivobook 15X M1503, R5 5600H",2022,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16.0,45 W,radeon rx vega 7,,,,1800 MHz,System Shared,"8 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 2880 x 1620 pixel 212 PPI, OLED, glossy: yes, 120 Hz",1.7,
"Asus VivoBook 15X A1503, i5-12500H",2022,Windows,core i5-12500h,12,16,2.5,4.5,10,18.0,45 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4-3200", 512 GB SSD NVMe PCIe,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.7,850 Euro
Asus Vivobook 15 X515JA-EJ2136W,2022,Windows,core i5-1035g1,4,8,1.0,3.6,10,6.0,15 W,uhd graphics g1,,,,300 MHz,System Shared,"8 GB  ,, DDR4-3200", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TN, glossy: no, 60 Hz",1.8,
Asus VivoBook 15 X515EA-BQ943T,2022,Windows,core i5-1135g7,4,8,2.4,4.2,10,8.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4-3200", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no, 60 Hz",1.8,500 Euro
Asus VivoBook 15 X513EA-BQ003T,2022,Windows,core i5-1135g7,4,8,2.4,4.2,10,8.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"8 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no",1.8,
Asus VivoBook 15 X1502ZA-BQ165W,2022,Windows,core i5-1240p,12,16,1.7,4.4,10,12.0,28 W,iris xe graphics g7 80eus,,,,300 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, IPS, glossy: no, 60 Hz",1.7,810 Euro
Asus VivoBook 15 M513UA-L1568W,2022,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8.0,15 W,radeon rx vega 8,,,,2000 MHz,System Shared,"16 GB  ,, DDR4", 512GB SSD,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, OLED, glossy: yes, 60 Hz",1.8,1000 Euro
