Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock,GPU memory clock,Memory,Storage,Display,Weight(kg),Price
Acer Aspire Ethos 5951G-2631675Wnkk,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,geforce gt 555m,1.0,DDR3,128,525 MHz,900 MHz,"16 GB  ,, DDR3-1333, max. 16 GB, 4 banks","Toshiba MK7559GSXP, 750 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG Display LP156WH3-TLL1, LED backlight, glossy: yes",3.3,1400 Euro
Acer Aspire 7750G-2434G1TMN,2011,Windows,core i5-2430m,2,4,2.4,,32,3.0,35 W,radeon hd 6650m,1.0,DDR3,128,600 MHz,800 MHz,4 GB  ,,"17.30 inch 16:9, 1600 x 900 pixel, glossy: yes",3.0,600 Euro
Acer Aspire 4755-2434G64MN,2011,Windows,core i5-2430m,2,4,2.4,,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,4 GB  ,,"14.00 inch 16:9, 1366 x 768 pixel, glossy: yes",2.3,
Acer Aspire One 722-C52kk,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,,,,500 MHz,System Shared,"2048 MB  ,, manufacturer: Hynix (Hyundai Electronics), HMT325S6BFR8C-H9, DDR3-10600S, 1066 MHz, maximum 4 GBs, 1 slot","Toshiba MK2559GSXP, 250 GB  ","11.60 inch 16:9, 1280 x 720 pixel, AUO B116XW03 V2, WXGA, LED, diagonal: 29.5 centimeters, glossy: yes",1.358,349 Euro
Acer Aspire One 722-C52kk,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,0.5,GDDR3,64,650 MHz,500 MHz,"2048 MB  ,, manufacturer: Hynix (Hyundai Electronics), HMT325S6BFR8C-H9, DDR3-10600S, 1066 MHz, maximum 4 GBs, 1 slot","Toshiba MK2559GSXP, 250 GB  ","11.60 inch 16:9, 1280 x 720 pixel, AUO B116XW03 V2, WXGA, LED, diagonal: 29.5 centimeters, glossy: yes",1.358,349 Euro
Acer TravelMate 5760-2414G50Mnsk,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,hd graphics 3000,,,,650 MHz,System Shared,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel",2.5,600 Euro
Acer Aspire 5830TG-2414G75Mnbb,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,"4 GB  ,, Manufacturer: Kingston, Typ: ACR256X64D3S1333C9, 1333 MHz, DDR3-10700, 9-9-9-24, Dual-Channel, maximal 8 GB, 2 slots","WDC Scorpio Blue WD7500BPVT-22HXZT1, 750 GB  ","15.60 inch 16:9, 1366 x 768 pixel, AUO B156XW04 V5 (AUO45EC), Diagonal: 39.6 centimeters, LED, glossy: yes",2.45,899 Euro
Acer Aspire Ethos 8951G,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,geforce gt 555m,1.0,DDR3,128,525 MHz,900 MHz,8 GB  ,,"18.40 inch 16:9, 1920 x 1080 pixel, glossy: yes",4.4,1500 Euro
Acer TravelMate 8473TG-2414G50Mnkk,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,"4 GB  ,, DDR3, 1333 MHz, Hyundai Electronics (Hynix), 2 banks, maximum 8 GB","WDC Scorpio Blue WD5000BPVT-22HXZT1, 500 GB  ","14.00 inch 16:9, 1366 x 768 pixel, AUO313C, LED, Diagonal: 35,6 cm (14.0&quot;), ComfyView, matte, glossy: no",2.388,963 Euro
Acer Aspire 5755G-2414G75Mn,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel",2.6,600 Euro
Acer Aspire Ethos 8951G-2631687Wnkk,2011,Windows,core i7-2630qm,4,8,2.0,2.9,32,6.0,45 W,geforce gt 555m,1.0,DDR3,128,525 MHz,900 MHz,"16 GB  ,, DDR3 SDRAM-PC3-8500-1066 MHz ,3 USB 2.0, 1 USB 3.0 / 3.1 Gen1, 1 Firewire, 1 VGA, 1 HDMI, 1 Kensington Lock, 1 eSata, Audio Connections: 1 line in, 1 line out, 1 S/PDIF, Card Reader: MMC, SD Memory Card, xD-Picture Card, Memory Stick, Memory Stick Pro, SDXC, 1 Fingerprint Reader","Intel X25-M G2 SSDSA2M120G2GC, 120 GB  ","18.40 inch, 1920 x 1080 pixel, CMO1807, glossy: yes",3.9,1600 Euro
Acer TravelMate 5760G-2416G64Mnsk,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 520m,1.0,DDR3,64,740 MHz,800 MHz,6 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: no",2.5,650 Euro
Acer Aspire 5750G-2414G50Mnkk,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,4 GB  ,,"15.60 inch 16:9, 1366 x 768 pixel, glossy: yes",2.6,700 Euro
Acer Aspire 4830TG,2011,Windows,core i5-2410m,2,4,2.3,2.9,32,3.0,35 W,geforce gt 540m,1.0,DDR3,128,672 MHz,900 MHz,"4 GB  ,, 2 x 2048 MB, max. 8 GB, DDR-3 SDRAM (	1333 MHz), Kingston, 2 S0-DIMM slot (both occupied)","WDC Scorpio Blue WD7500BPVT-22HXZT1, 750 GB  ","14.00 inch 16:9, 1366 x 768 pixel, HD CineCrystal High-Brightness Display mit LED-Backlight , CMO1457 , glossy: yes",2.15,799 Euro
Acer Aspire One 522-C58kk,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,,,,500 MHz,System Shared,2048 MB  ,,"10.10 inch 16:9, 1280 x 720 pixel, glossy: yes",1.3,
Acer Aspire One 522-C58kk,2011,Windows,c-50,2,2,1.0,,40,,9 W,radeon hd 6250,0.5,GDDR3,64,650 MHz,500 MHz,2048 MB  ,,"10.10 inch 16:9, 1280 x 720 pixel, glossy: yes",1.3,
Acer Aspire 5253-E352G32Mnkk,2011,Windows,e-350,2,2,1.6,,40,,18 W,radeon hd 6310,,,,488 MHz,System Shared,"2048 MB  ,, PC3-10600 667MHz",", 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, LG LP156WH2-TLEA, glossy: yes",2.332,449 Euro
