,OS,CPU_Threads,CPU_Boosted_Clock,CPU_L3(MB),CPU_TDP(W),GPU_Memory(GB),GPU_Memory_Type,GPU memory clock(MHz),RAM(GB),RAM_DDR,Storage(GB),Display_Inch,Display_Height(pixel),Weight(kg)
607,Windows,8,4.2,8,28,0,,0,16,4,512,14.0,2880,1.415
1267,Windows,12,4.0,8,15,4,GDDR5,2001,8,4,512,14.0,1920,1.5
1385,Windows,16,4.3,8,15,0,,0,8,4,512,13.3,1920,1.07
19,Windows,16,4.4,12,28,4,GDDR6,1750,16,4,512,15.6,1920,1.824
1646,Windows,12,5.0,12,45,8,GDDR6,1500,16,4,512,15.6,1920,2.4
510,Windows,16,4.4,16,15,0,,0,16,4,512,13.3,1920,1.3
177,Windows,16,4.6,16,45,0,,0,16,4,512,14.0,2880,1.4
318,Windows,8,4.2,8,28,0,,0,8,4,512,15.6,1920,1.727
839,Windows,8,4.8,12,32,0,,0,16,4,512,14.0,2560,1.4
882,Windows,8,4.7,12,28,0,,0,16,4,512,13.3,1920,1.339
596,Windows,16,4.4,12,28,0,,0,16,4,512,16.0,1920,1.949
749,Windows,24,4.8,25,55,8,GDDR6,1750,16,5,1024,15.6,1920,2.469
326,Windows,20,4.8,24,28,0,,0,16,4,512,13.4,3456,1.265
1067,Windows,4,4.1,6,28,0,,0,8,4,512,14.0,1920,1.41
1218,Windows,8,4.7,12,28,4,LPDDR4X,2133,16,4,1024,14.0,1920,1.37
1634,Windows,4,3.3,4,6,0,,0,8,4,256,11.6,1366,1.47
831,Windows,16,4.4,16,45,8,GDDR6,1750,16,4,1024,15.6,1920,2.35
841,Windows,8,4.2,8,28,0,,0,16,4,512,17.0,2560,1.35
351,Windows,12,4.5,12,35,0,,0,8,4,512,15.6,1920,1.787
833,MacOS,8,3.49,8,18,0,,0,8,4,256,13.6,2560,1.215
840,Windows,16,5.0,24,45,16,GDDR6,1750,32,4,2048,17.3,3840,2.922
1558,Windows,8,4.8,12,28,0,,0,16,4,1024,14.0,1920,1.0
1358,Windows,8,4.2,12,25,0,,0,8,4,512,15.6,1920,1.8
735,Windows,8,4.2,8,28,0,,0,16,4,512,14.0,1900,1.226
265,Windows,16,4.7,16,45,8,GDDR6,1750,16,5,512,16.0,2560,2.2
1681,Windows,16,4.3,8,15,0,,0,16,4,512,15.6,1920,1.86
1068,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.41
589,Windows,16,4.7,16,45,8,GDDR6,1750,32,5,1024,16.0,2560,2.556
15,Windows,16,4.7,16,45,8,GDDR6,1750,16,5,1024,15.6,1920,2.5
159,Windows,16,4.6,16,45,4,GDDR6,1500,16,4,1024,15.6,1920,1.865
1234,Windows,12,5.0,12,45,6,GDDR6,1750,16,4,1024,17.3,1920,2.2
348,Windows,8,4.2,8,28,0,,0,8,4,256,15.6,1920,1.655
580,Windows,8,4.0,8,15,0,,0,16,4,512,12.6,2560,0.719
1383,Windows,16,4.6,16,35,6,GDDR6,1750,16,4,1024,14.0,1920,1.68
1252,Windows,12,5.0,12,45,4,GDDR6,1250,16,4,1024,14.0,1920,1.775
1230,Windows,8,4.2,8,28,0,,0,16,4,512,13.3,2560,1.407
112,Windows,8,4.5,8,28,0,,0,8,4,512,15.6,1920,1.8
985,Windows,8,4.0,8,15,0,,0,16,4,512,13.0,2160,0.907
360,Windows,12,4.3,16,15,0,,0,8,4,256,15.6,1920,1.94
634,Windows,16,4.4,16,15,0,,0,16,4,512,13.3,1920,1.264
1413,Windows,8,4.8,12,32,4,GDDR5,1751,16,4,512,15.6,1920,1.9
879,Windows,12,4.2,16,15,0,,0,16,4,512,15.6,1920,1.929
1581,Windows,4,3.3,4,6,0,,0,4,4,512,11.6,1366,1.4
54,Windows,6,4.0,11,25,0,,0,8,4,256,14.0,1920,1.2
824,Windows,20,4.7,24,45,8,GDDR6,1750,32,5,1024,17.3,2560,2.5
929,Windows,8,4.7,12,28,0,,0,16,4,512,15.6,1920,1.7
531,Windows,12,4.7,12,15,0,,0,32,5,1024,13.5,1920,0.99
819,Windows,16,4.6,24,35,8,GDDR6,1750,16,4,1024,15.6,2560,2.38
1112,Windows,16,5.0,16,45,8,GDDR6,1750,32,4,1024,15.6,1920,2.315
1514,Windows,8,4.8,12,32,6,GDDR6,1750,16,4,512,15.6,1920,2.0
924,Windows,12,5.0,12,45,4,GDDR6,1250,16,4,1024,15.6,3840,1.958
8,Windows,12,4.7,12,9,0,,0,16,4,512,13.3,2560,1.19
1345,Windows,8,4.2,8,28,0,,0,8,4,512,14.0,1920,1.25
1489,Windows,4,3.4,4,15,0,,0,8,4,128,15.6,1920,1.8
263,Windows,12,4.5,12,35,4,GDDR6,1500,16,4,512,15.6,1920,2.3
948,Windows,8,4.0,4,15,0,,0,8,4,512,14.0,1920,1.65
915,Windows,8,4.2,8,28,0,,0,16,4,512,14.0,1920,1.491
995,Windows,12,5.0,12,45,2,GDDR5,1252,32,4,1024,15.6,3840,2.07
1598,Windows,12,5.1,12,45,2,GDDR5,1502,16,4,512,14.0,1920,1.54
1640,Windows,8,4.2,8,28,0,,0,8,4,512,15.6,1920,1.91
1747,Windows,16,4.6,24,35,4,GDDR6,1250,16,4,512,15.6,1920,1.89
365,Windows,16,5.0,24,35,6,GDDR6,1375,32,4,512,17.0,3840,2.53
755,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,17.3,1920,2.85
1160,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,512,17.3,1920,2.45
1040,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,1920,1.5
343,Windows,8,4.1,6,45,4,GDDR6,1500,8,4,512,15.6,1920,2.474
1305,Windows,12,5.0,12,45,6,GDDR6,1750,16,4,512,15.6,1920,2.3
963,Windows,8,4.2,8,28,0,,0,16,4,1024,13.3,2560,0.966
1010,Windows,8,4.2,8,28,0,,0,8,4,256,13.3,1920,1.26
645,Windows,8,5.0,12,28,0,,0,8,4,512,14.0,3840,1.37
776,Windows,20,4.7,24,45,8,GDDR6,1750,32,5,1024,17.3,1920,2.8
671,Windows,8,3.8,4,15,0,,0,8,4,1024,14.0,1920,1.64
1377,Windows,16,4.3,8,15,0,,0,16,4,1024,15.6,1920,1.8
1509,Windows,16,4.4,16,45,6,GDDR6,1750,16,4,512,17.3,1920,2.6
417,Windows,20,4.7,24,45,8,GDDR6,1750,32,5,1024,16.1,2560,2.29
1655,Windows,16,5.0,24,45,8,GDDR6,1750,32,4,512,17.3,3840,2.766
757,Windows,20,5.0,24,45,6,GDDR6,1750,16,4,512,15.6,1920,2.301
1113,Windows,16,5.0,16,45,8,GDDR6,1750,32,4,1024,17.3,1920,3.027
592,Windows,16,4.9,16,45,6,GDDR6,1750,32,4,1024,16.0,2560,2.08
382,Windows,8,4.4,8,28,0,,0,16,4,512,14.0,1920,1.52
754,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,17.3,1920,2.72
1086,Windows,8,4.7,12,28,0,,0,16,4,256,16.0,2560,1.19
1480,Windows,12,4.0,8,15,0,,0,16,4,1024,17.3,1920,2.3
1187,Windows,16,5.3,16,45,8,GDDR6,1750,32,4,1024,15.6,1920,2.38
1356,Windows,8,3.8,4,15,0,,0,8,4,256,15.6,1920,1.8
61,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,16.0,2560,2.4
762,Windows,16,4.9,24,35,16,GDDR6,1750,64,4,1024,15.6,1920,2.1
1580,Windows,8,4.8,12,28,0,,0,16,4,512,13.4,3456,1.245
9,Windows,24,5.0,30,55,16,GDDR6,2000,32,5,2048,17.3,2560,2.927
858,Windows,12,4.2,16,15,0,,0,16,4,512,13.3,1920,1.443
298,Windows,16,4.7,16,35,8,GDDR6,1750,32,5,2048,16.0,2560,2.1
499,Windows,20,4.7,24,45,6,GDDR6,1750,16,4,512,16.1,1920,2.31
618,Windows,16,4.8,18,28,0,,0,16,4,512,14.0,1920,1.489
274,Windows,20,4.7,24,45,6,GDDR6,1750,16,5,1024,16.0,2560,1.9
855,Windows,4,4.1,6,28,0,,0,8,4,256,15.6,1920,1.855
402,Windows,16,4.6,24,35,6,GDDR6,1750,16,4,1024,15.6,3840,2.0
1375,Windows,16,4.6,16,45,8,GDDR6,1750,64,4,2048,15.6,2560,2.314
1223,Windows,4,3.5,4,15,0,,0,4,4,128,15.6,1920,1.8
599,Windows,24,5.0,30,55,16,GDDR6,2000,32,5,1024,16.0,2560,2.567
1431,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,1024,14.0,1920,1.29
328,Windows,20,4.7,24,45,4,GDDR6,1500,16,5,512,16.0,3072,2.053
868,Windows,16,4.6,24,35,4,GDDR6,1375,16,4,512,17.3,1920,3.565
1711,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,1024,14.0,1920,1.413
1687,Windows,8,4.2,8,28,0,,0,8,4,512,13.3,3840,1.223
765,Windows,20,4.7,24,45,8,GDDR6,1750,16,4,1024,15.6,2560,2.38
1672,Windows,8,4.8,12,28,0,,0,16,4,512,14.0,1920,1.2
685,Windows,16,4.7,16,45,10,GDDR6,2000,16,5,1024,16.0,2560,2.53
1201,Windows,8,4.7,12,28,2,GDDR6,1250,16,4,512,14.0,2560,1.46
1903,MacOS,10,3.2,48,30,0,,0,32,4,512,14.2,3024,1.6
935,Windows,8,4.7,12,28,0,,0,16,4,512,14.0,1920,1.43
756,Windows,12,4.2,16,45,4,GDDR6,1750,16,4,512,15.6,1920,2.32
42,Windows,8,4.4,8,32,0,,0,8,4,512,16.1,1920,1.75
416,Windows,16,4.6,24,35,4,GDDR6,1250,16,4,512,15.6,1920,1.974
1636,Windows,12,4.0,8,15,0,,0,8,4,512,15.6,1920,1.75
4,Windows,16,4.9,16,45,8,GDDR6,2000,16,5,1024,16.0,2560,2.181
1587,Windows,8,4.2,8,28,0,,0,16,4,256,13.3,1920,1.2
317,Windows,8,4.7,12,28,0,,0,16,4,512,15.6,1920,1.73
708,Windows,12,4.2,16,45,4,GDDR5,2001,16,4,512,15.6,1920,2.25
1630,Windows,8,4.8,12,28,0,,0,16,4,512,13.3,1920,1.29
120,Windows,16,4.7,18,28,4,GDDR6,1750,16,4,1024,15.6,1920,1.76
