,Laptop_name,Year,OS,CPU,CPU_Cores,CPU_Threads,CPU_Default_Clock,CPU_Boosted_Clock,CPU_Transistor_Size(nm),CPU_L3(MB),CPU_TDP,GPU,GPU_Memory(GB),GPU_Memory_Type,GPU_Bus_Width(bit),GPU clock(MHz),GPU memory clock(MHz),RAM(GB),RAM_bus,RAM_DDR,Storage(GB),Storage_Type,Display_Inch,Display_Height(pixel),Display_Width(pixel),Weight(kg),Price(USD)
439,HP Victus 16-d0108TX,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,16.1,1920,1080,2.46,
440,HP Victus 16-d0097nr,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,16.1,1920,1080,2.46,
441,HP Victus 16-d0065ng,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,512.0,SSD,16.1,1920,1080,2.48,
442,HP Victus 16-d0021ns,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,16.1,1920,1080,2.46,
443,HP Victus 15t-fa000,2022.0,Windows,core i5-12450h,8,12,2.0,4.4,10,12,45 W,geforce gtx 1650 mobile,4,GDDR5,128,1395.0,2001.0,8,0,4,512.0,SSD,15.6,1920,1080,2.3,
444,HP Victus 15-fb0028n,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,2.3,
445,HP Victus 15-fb0012AX,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,2.29,
446,HP Victus 15-fb0011AX,2022.0,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16,45 W,radeon rx 6500m,4,GDDR6,64,2000.0,2250.0,16,0,4,512.0,SSD,15.6,1920,1080,2.3,
447,HP Victus 15-fb0009AX,2022.0,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16,45 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,2.9,
448,HP Victus 15-fa0038nf,2022.0,Windows,core i5-12450h,8,12,2.0,4.4,10,12,45 W,geforce gtx 1650 mobile,4,GDDR5,128,1395.0,2001.0,8,0,4,512.0,SSD,15.6,1920,1080,2.29,893.0
449,HP Victus 15-fa0011TX,2022.0,Windows,core i5-12500h,12,16,2.5,4.5,10,18,45 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,8,0,4,512.0,SSD,15.6,1920,1080,2.29,
450,HP Stream 14s-dq0014ns,2022.0,Windows,celeron n4020,2,2,1.1,2.8,14,4,6 W,uhd graphics 600,0,,0,200.0,0.0,4,0,4,128.0,SSD,14.0,1920,1080,1.46,
451,HP Stream 14s-dq0009ns,2022.0,Windows,celeron n4020,2,2,1.1,2.8,14,4,6 W,uhd graphics 600,0,,0,200.0,0.0,4,0,4,512.0,SSD,14.0,1366,768,1.46,
452,HP Stream 14s-dq0008ns,2022.0,Windows,celeron n4020,2,2,1.1,2.8,14,4,6 W,uhd graphics 600,0,,0,200.0,0.0,4,0,4,512.0,SSD,14.0,1366,768,1.46,
453,HP Spectre x360 16-f0035,2022.0,Windows,core i7-11390h,4,8,2.9,5.0,10,12,28 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,16.0,3072,1920,2.0,
454,HP Spectre x360 16-f0008ca,2022.0,Windows,core i7-11390h,4,8,2.9,5.0,10,12,28 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,1024.0,SSD,16.0,3072,1920,2.001,
455,HP Spectre x360 14-ea1013TU,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,13.5,3000,2000,1.34,
456,HP Spectre x360 14-ea0435no,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,13.5,1920,1280,1.34,
457,HP ProBook x360 435 G8 R7-5600U,2022.0,Windows,ryzen 5 5600u,6,12,2.3,4.2,7,16,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,13.3,1920,1080,1.45,999.0
458,"HP ProBook 455 G9, R7 5825U",2022.0,Windows,ryzen 7 5825u,8,16,2.0,4.5,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.74,1156.0
459,HP ProBook 430 G8-2W1H2EA,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,256.0,SSD,13.3,1920,1080,1.38,893.0
460,HP Pavilion x360 14-ek0000,2022.0,Windows,core i7-1255u,10,12,1.7,4.7,10,12,15 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.51,
461,HP Pavilion x360 14-dy1034ns,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.5,
462,HP Pavilion x360 14-dy1004ns,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,14.0,1920,1080,1.5,
463,HP Pavilion x360 14-dy1002ns,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.5,
464,HP Pavilion x360 14-dy1001ns,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.5,
465,HP Pavilion x360 14-dy0018ns,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.82,631.0
466,HP Pavilion x360 14-dy0007ns,2022.0,Windows,core i3-1125g4,4,8,2.0,3.7,10,8,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.56,
467,HP Pavilion Gaming 16-a0040ns,2022.0,Windows,core i7-10870h,8,16,2.2,5.0,14,16,45 W,geforce gtx 1650 ti mobile,4,GDDR6,128,1350.0,1500.0,8,0,4,512.0,SSD,16.1,1920,1080,2.35,
468,HP Pavilion Gaming 15-ec2047AX,2022.0,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16,45 W,geforce gtx 1650 mobile,4,GDDR5,128,1395.0,2001.0,16,0,4,512.0,SSD,15.6,1920,1080,1.98,
469,HP Pavilion Gaming 15-ec2010AX,2022.0,Windows,ryzen 5 5600h,6,12,3.3,4.2,7,16,45 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,1.98,
470,HP Pavilion Gaming 15-dk2070ng,2022.0,Windows,core i7-11370h,4,8,4.8,,10,12,32 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,15.6,1920,1080,2.28,1366.0
471,HP Pavilion Gaming 15-dk2002TX,2022.0,Windows,core i5-11300h,4,8,4.4,,10,8,32 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,8,0,4,512.0,SSD,15.6,1920,1080,2.23,
472,HP Pavilion Aero 13-be0053nf,2022.0,Windows,ryzen 5 5600u,6,12,2.3,4.2,7,16,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,13.3,2560,1600,0.99,
473,HP Pavilion Aero 13-be000AU,2022.0,Windows,ryzen 5 5600u,6,12,2.3,4.2,7,16,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,13.3,1920,1200,0.99,
474,HP Pavilion Aero 13-be0009ns,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,13.3,1920,1200,0.99,
475,HP Pavilion Aero 13-be0008ns,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,1024.0,SSD,13.3,2560,1600,0.99,
476,HP Pavilion Aero 13-be0002AU,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,13.3,2560,1600,0.99,
477,HP Pavilion 15-eh1771nd,2022.0,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.75,
478,HP Pavilion 15-eh1006ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.75,
479,HP Pavilion 15-eh1005ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.75,
480,HP Pavilion 15-eh1002ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.75,
481,HP Pavilion 15-eg2000,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.74,
482,HP Pavilion 15-eg0025nr,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.75,
483,HP Pavilion 15-cw1947nd,2022.0,Windows,ryzen 5 3500u,4,8,2.1,3.7,12,4,15 W,radeon rx vega 8,0,,0,2000.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.85,
484,HP Pavilion 14-ec0013ns,2022.0,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.4,
485,HP Pavilion 14-ec0008ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,2.07,
486,HP Pavilion 14-ec0008AU,2022.0,Windows,ryzen 3 5300u,4,8,2.6,3.8,7,4,15 W,radeon rx vega 6,0,,0,1500.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.41,
487,HP Pavilion 14-ec0006ns,2022.0,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,1024.0,SSD,14.0,1920,1080,2.07,
488,HP Pavilion 14-dv1000ns,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,14.0,1920,1080,1.41,
489,HP Omen 17-ck0420nd,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,1024.0,SSD,17.3,1920,1080,2.78,
490,HP Omen 17-ck0065ng,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,17.3,1920,1080,1.82,1629.0
491,HP Omen 17-ck0006np,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,32,0,4,1024.0,SSD,17.3,2560,1440,2.78,
492,HP Omen 17-ck0039nf,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,32,0,4,1024.0,SSD,17.3,1920,1080,1.82,
493,HP Omen 16-n0023dx,2022.0,Windows,ryzen 7 6800h,8,16,3.2,4.7,6,16,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,16.1,1920,1080,2.4,1314.0
494,HP Omen 16-c0615nd,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,16.1,1920,1080,2.3,
495,HP Omen 16-c0087ng,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,1024.0,SSD,16.1,2560,1440,2.31,1945.0
496,HP Omen 16-c0075ng,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,radeon rx 6600m,8,GDDR6,128,2068.0,1750.0,16,0,4,512.0,SSD,16.1,1920,1080,2.31,
497,HP Omen 16-c0027ns,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,512.0,SSD,16.1,1920,1080,2.3,
498,HP Omen 16-c0010ca,2022.0,Windows,ryzen 7 5800h,8,16,3.2,4.4,7,16,45 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,16.1,1920,1080,2.31,
499,HP Omen 16-b1075ng,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,512.0,SSD,16.1,1920,1080,2.31,1682.0
500,HP Omen 16-b0426no,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,1024.0,SSD,16.1,1920,1080,2.31,
501,HP Omen 16-b0352TX,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,16.0,1920,1080,2.3,
502,HP Omen 16-b0028ns,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,4,1024.0,SSD,16.1,1920,1080,2.31,
503,HP Omen 15-en1845no,2022.0,Windows,ryzen 9 5900hx,8,16,3.3,4.6,7,16,45 W,geforce rtx 3070 mobile,8,GDDR6,256,1110.0,1750.0,16,0,4,1024.0,SSD,15.6,2560,1440,2.5,
504,HP Envy x360 15t-ew000,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.7,
505,HP Envy x360 15m-es1023dx,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.77,
506,HP Envy x360 15-eu0027nf,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.86,
507,HP Envy x360 15-es0021ur,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.82,
508,HP Envy x360 13-bd0055nf,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,13.3,1920,1080,1.32,
509,HP Envy x360 13-bd0018na,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,13.3,1920,1080,1.32,1051.0
510,HP Envy x360 13-ay1074ng,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,13.3,1920,1080,1.3,1051.0
511,HP Envy x360 13-ay1054AU,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,1024.0,SSD,13.3,1920,1080,1.3,
512,HP Envy x360 13-ay1001ns,2022.0,Windows,ryzen 7 5800u,8,16,1.9,4.4,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,13.3,1920,1080,1.3,
513,HP Envy x360 13-ay0004ns,2022.0,Windows,ryzen 7 4700u,8,8,1.8,4.2,7,12,25 W,radeon rx vega 7,0,,0,1800.0,0.0,16,0,4,512.0,SSD,13.3,1920,1080,1.32,
514,HP Envy 17-cr0474ng,2022.0,Windows,core i7-1260p,12,16,2.1,4.7,10,18,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,17.3,1920,1080,1.84,1472.0
515,HP Envy 16-h0795ng,2022.0,Windows,core i9-12900h,14,20,2.5,5.0,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,32,0,5,1024.0,SSD,16.0,2560,1600,2.67,
516,HP Envy 16-h0787nr,2022.0,Windows,core i7-12700h,14,20,2.3,4.7,10,24,45 W,geforce rtx 3060 mobile,6,GDDR6,192,900.0,1750.0,16,0,5,1024.0,SSD,16.0,2560,1600,2.32,1892.0
517,HP Envy 15-ep1074ng,2022.0,Windows,core i7-11800h,8,16,1.9,4.6,10,24,35 W,geforce rtx 3050 ti mobile,4,GDDR6,128,735.0,1500.0,16,0,4,1024.0,SSD,15.6,1920,1080,2.18,1577.0
518,HP Envy 15-ep1008ns,2022.0,Windows,core i5-11400h,6,12,2.2,4.5,10,12,35 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,15.6,1920,1080,2.18,999.0
519,HP Envy 14-eb1035nr,2022.0,Windows,core i7-11390h,4,8,2.9,5.0,10,12,28 W,geforce rtx 3050 mobile,4,GDDR6,128,712.0,1500.0,16,0,4,512.0,SSD,14.0,2240,1400,1.5,1051.0
520,HP Envy 14-eb0021tx,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,geforce gtx 1650 ti max-q,4,GDDR6,128,1035.0,1250.0,16,0,4,1024.0,SSD,14.0,1920,1200,1.49,
521,HP Envy 13-ba1013na,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,13.3,1920,1080,1.3,
522,HP Envy 13-ba1009ns,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,13.3,1920,1080,1.3,736.0
523,HP Envy 13-ba1006ns,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,13.3,1920,1080,1.3,
524,HP Envy 13-ba1002ns,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,geforce mx450,2,GDDR6,64,1395.0,1250.0,16,0,4,512.0,SSD,13.3,1920,1080,1.3,
525,HP EliteBook x360 1030 G7-26K00US,2022.0,Windows,core i7-10610u,4,8,1.8,4.9,14,8,25 W,uhd graphics 620,0,,0,300.0,0.0,16,0,3,256.0,SSD,13.3,1920,1080,1.21,
526,HP EliteBook 845 G9 6F6F5EA,2022.0,Windows,ryzen 7 6800u,8,16,2.7,4.7,6,16,15 W,radeon 680m,0,,0,2000.0,0.0,16,0,5,512.0,SSD,14.0,1920,1200,1.4,1892.0
527,HP EliteBook 845 G8,2022.0,Windows,ryzen 5 pro 5650u,6,12,2.3,4.2,7,16,15 W,radeon rx vega 7,0,,0,1800.0,0.0,8,0,4,256.0,SSD,14.0,1920,1080,1.4,946.0
528,HP Elitebook 840 G8 Aero 5Z619EA,2022.0,Windows,core i7-1165g7,4,8,2.8,4.7,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,32,0,4,1024.0,SSD,14.0,1920,1080,1.32,2313.0
529,"HP EliteBook 645 G9, Ryzen 7 5825U",2022.0,Windows,ryzen 7 5825u,8,16,2.0,4.5,7,16,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,14.0,1920,1080,1.37,1472.0
530,"HP Elite Dragonfly G3, i7-1265U",2022.0,Windows,core i7-1265u,10,12,1.8,4.8,10,12,15 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,5,512.0,SSD,13.5,1920,1280,0.99,
531,"HP Elite Dragonfly G3, i7-1255U",2022.0,Windows,core i7-1255u,10,12,1.7,4.7,10,12,15 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,32,0,5,1024.0,SSD,13.5,1920,1280,0.99,2733.0
532,HP 470 G8-3S8S1EA,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,17.3,1920,1080,2.08,999.0
533,"HP 255 G9, R5 5625U",2022.0,Windows,ryzen 5 5625u,6,12,2.3,4.3,7,16,15 W,radeon rx vega 7,0,,0,1800.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.74,
534,HP 17-cn1012ns,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,17.3,1920,1080,2.08,
535,HP 17-cn1006ns,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,17.3,1920,1080,2.08,715.0
536,HP 17-cn0025nr,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,256.0,SSD,17.3,1600,900,2.05,
537,HP 15s-fq5078TU,2022.0,Windows,core i5-1235u,10,12,1.3,4.4,10,12,15 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.69,
538,HP 15s-fq4086ns,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.69,
539,HP 15s-fq4085ns,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.69,
540,HP 15s-fq4006ns,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.69,
541,HP 15s-fq4005ns,2022.0,Windows,core i7-1195g7,4,8,2.9,5.0,10,12,28 W,iris xe graphics g7 96eus,0,,0,300.0,0.0,12,0,4,512.0,SSD,15.6,1920,1080,1.69,
542,HP 15s-fq4004ns,2022.0,Windows,core i5-1155g7,4,8,2.5,4.5,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.69,
543,HP 15s-fq2711nd,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.69,
544,HP 15s-fq2708nd,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.69,
545,HP 15s-fq2147ns,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.69,
546,HP 15s-fq2095ns,2022.0,Windows,core i3-1115g4,2,4,3.0,4.1,10,6,28 W,uhd graphics xe g4 48eus,0,,0,1450.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.69,
547,HP 15s-fq2079ns,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.69,
548,HP 15s-fq2016sa,2022.0,Windows,core i5-1135g7,4,8,2.4,4.2,10,8,28 W,iris xe graphics g7 80eus,0,,0,300.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.69,
549,HP 15s-fq0011ns,2022.0,Windows,celeron n4020,2,2,1.1,2.8,14,4,6 W,uhd graphics 600,0,,0,200.0,0.0,4,0,4,128.0,SSD,15.6,1366,768,1.65,
550,HP 15s-eq2721nd,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.69,
551,HP 15s-eq2120ns,2022.0,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,1024.0,SSD,15.6,1920,1080,1.69,
552,HP 15s-eq2119ns,2022.0,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8,15 W,radeon rx vega 8,0,,0,2000.0,0.0,16,0,4,512.0,SSD,15.6,1920,1080,1.69,
553,HP 15s-eq2118ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,12,0,4,1024.0,SSD,15.6,1920,1080,1.69,
554,HP 15s-eq2117ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.69,
555,HP 15s-eq2113ns,2022.0,Windows,ryzen 7 5700u,8,16,1.8,4.3,7,8,15 W,radeon rx vega 8,0,,0,2000.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.69,631.0
556,HP 15s-eq2083ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,8,0,4,512.0,SSD,15.6,1920,1080,1.69,
557,HP 15s-eq2082ns,2022.0,Windows,ryzen 3 5300u,4,8,2.6,3.8,7,4,15 W,radeon rx vega 6,0,,0,1500.0,0.0,8,0,4,256.0,SSD,15.6,1920,1080,1.69,
558,HP 15s-eq2066ns,2022.0,Windows,ryzen 5 5500u,6,12,2.1,4.0,7,8,15 W,radeon rx vega 7,0,,0,1800.0,0.0,12,0,4,512.0,SSD,15.6,1920,1080,1.69,
