Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
HP ProBook 470 G5,2018,Intel Core i5-8250U,NVIDIA GeForce 930MX,"8 GB  ,, DDR4-1200, single-channel, two slots (one used)","Intel SSD 600p SSDPEKKW256G7, 256 GB  ","17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, LG Philips, IPS, glossy: no","2.5 kg ( = 88.19 oz / 5.51 pounds), Power Supply: 334 g ( = 11.78 oz / 0.74 pounds)",1099 Euro
HP Omen 17-an010ns,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1070 Mobile,16 GB  , 1 TB HDD + 256 GB SSD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: yes",3.78 kg ( = 133.34 oz / 8.33 pounds) ( = 0 oz / 0 pounds),
HP 15-bs043NS,2018,Intel Core i7-7500U,Intel HD Graphics 620,8 GB  , 1 TB 5400 RPM HDD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, glossy: yes",2.1 kg ( = 74.08 oz / 4.63 pounds) ( = 0 oz / 0 pounds),
HP 15-bs504ns,2018,Intel Core i3-6006U,Intel HD Graphics 520,8 GB  , 256 GB SSD,"15.60 inch 16:9, 1366 x 768 pixel 100 PPI, TN, glossy: yes",1.9 kg ( = 67.02 oz / 4.19 pounds) ( = 0 oz / 0 pounds),
HP Omen X 17-ap000na,2018,Intel Core i7-7820HK,NVIDIA GeForce GTX 1070 Mobile,16 GB  , 256 GB SSD + 1 TB HDD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",4.49 kg ( = 158.38 oz / 9.9 pounds) ( = 0 oz / 0 pounds),
HP Pavilion 15-cc108ng,2018,Intel Core i7-8550U,NVIDIA GeForce 940MX,"8 GB  ,, DDR4-2666, single channel, two storage slots (one slot occupied)","256 GB NVMe, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, TN LED, glossy: no",1.8 kg ( = 63.49 oz / 3.97 pounds) ( = 0 oz / 0 pounds),900 Euro
HP Pavilion 15-cc107ng,2018,Intel Core i5-8250U,NVIDIA GeForce 940MX,"8 GB  ,, DDR4-2666, single channel, two storage slots (one slot occupied)","SanDisk SD8SN8U256G1006, 256 GB  ","15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, AU Optronics, TN LED, glossy: no","1.82 kg ( = 64.2 oz / 4.01 pounds), Power Supply: 459 g ( = 16.19 oz / 1.01 pounds)",799 Euro
HP Pavilion 14-ba135ns x360,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes",1.6 kg ( = 56.44 oz / 3.53 pounds) ( = 0 oz / 0 pounds),
HP Pavilion 14-bf109ns,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: yes",1.5 kg ( = 52.91 oz / 3.31 pounds) ( = 0 oz / 0 pounds),
HP ProBook 430 G5-3KY85EA,2018,Intel Core i5-8250U,Intel UHD Graphics 620,"8 GB  ,, DDR4-2400","256 GB NVMe, 256 GB  ","13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, IPS, glossy: no",1.49 kg ( = 52.56 oz / 3.28 pounds) ( = 0 oz / 0 pounds),800 Euro
HP Envy x360 15z-1ZA07AV,2018,AMD Ryzen 5 2500U,AMD Radeon RX Vega 8 (Ryzen 2000/3000),"8 GB  ,, DDR4-2400", 1 TB 7200 rpm SATA,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Capacitive, IPS, glossy: yes",2.15 kg ( = 75.84 oz / 4.74 pounds) ( = 0 oz / 0 pounds),750 Euro
HP ProBook 430 G5,2018,Intel Core i7-8550U,Intel UHD Graphics 620,8 GB  , 256 GB SSD,"13.30 inch 16:9, 1366 x 768 pixel 166 PPI, glossy: no",1.35 kg ( = 47.62 oz / 2.98 pounds) ( = 0 oz / 0 pounds),
HP Pavilion 14-ba139ns x360,2018,Intel Core i5-8250U,NVIDIA GeForce 940MX,8 GB  , 256 GB SSD,"14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, glossy: yes",1.63 kg ( = 57.5 oz / 3.59 pounds) ( = 0 oz / 0 pounds),
HP Envy 17-ae120nd,2018,Intel Core i7-8550U,NVIDIA GeForce MX150,16 GB  , 1 TB HDD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: yes",3.04 kg ( = 107.23 oz / 6.7 pounds) ( = 0 oz / 0 pounds),
HP EliteBook 1040 G4-1EP15EA,2018,Intel Core i7-7500U,Intel HD Graphics 620,"16 GB  ,, DDR4-2400 @ 1197.1 MHz, Dual-channel (2x8 GB), 17-17-17-39","512 MB NAND Flash, 0.5 GB  ","14.00 inch 16:9, 1920 x 1080 pixel 157 PPI, IPS, glossy: no","1.52 kg ( = 53.62 oz / 3.35 pounds), Power Supply: 435 g ( = 15.34 oz / 0.96 pounds)",2100 Euro
HP Pavilion Power 15t-1GK62AV,2018,Intel Core i5-7300HQ,NVIDIA GeForce GTX 1050 Mobile,"12 GB  ,, DDR4-2400", 1TB HDD 7200rpm,"15.60 inch 16:9, 1920 x 1080 pixel 141 PPI, Capacitive, IPS, glossy: yes",2.2 kg ( = 77.6 oz / 4.85 pounds) ( = 0 oz / 0 pounds),1000 Euro
HP EliteBook x360 1020 G2-1EP69EA,2018,Intel Core i5-7200U,Intel HD Graphics 620,"8 GB  ,, LPDDR3-1866","512 MB NAND Flash, 0.5 GB  ","12.50 inch 16:9, 1920 x 1080 pixel 176 PPI, Capacitive, native pen support, IPS, glossy: yes","1.11 kg ( = 39.15 oz / 2.45 pounds), Power Supply: 320 g ( = 11.29 oz / 0.71 pounds)",1700 Euro
HP Omen 17-an008ur,2018,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Ti Mobile,8 GB  , 128 GB SSD + 1 TB HDD,"17.30 inch 16:9, 1920 x 1080 pixel 127 PPI, IPS, glossy: no",3.78 kg ( = 133.34 oz / 8.33 pounds) ( = 0 oz / 0 pounds),
HP Spectre 13-AF000no,2018,Intel Core i5-8250U,Intel UHD Graphics 620,8 GB  , 256 GB SSD,"13.30 inch 16:9, 1920 x 1080 pixel 166 PPI, glossy: yes",1.11 kg ( = 39.15 oz / 2.45 pounds) ( = 0 oz / 0 pounds),
