Laptop_name,Year,CPU,GPU,Memory,Storage,Display,Weight(kg),Price
Dell Studio XPS 16,2009,Intel Core 2 Duo T9400,ATI Mobility Radeon HD 3670,"4 GB  ,, DDR3, PC3-8500F, 2x2048MB, max. 8GB","500 GB - 5400 rpm, 500 GB  ","16.00 inch 16:9, 1920 x 1080 pixel, Full-HD RGB-LED LCD, glossy: yes","3.05 kg ( = 107.59 oz / 6.72 pounds), Power Supply: 460 g ( = 16.23 oz / 1.01 pounds)",1699 Euro
Dell Studio XPS 13,2009,Intel Core 2 Duo P9500,NVIDIA GeForce 9500M G,"4 GB  ,, DDR3 PC3-8500, 2x2048MB, max. 4096MB",", 128 GB  ","13.30 inch 16:10, 1280 x 1024 pixel, WXGA White-LED-Display, glossy: yes","2.19 kg ( = 77.25 oz / 4.83 pounds), Power Supply: 480 g ( = 16.93 oz / 1.06 pounds)",1800 Euro
Dell Inspiron Mini 12,2009,Intel Atom Z530,Intel Graphics Media Accelerator (GMA) 500,"1024 MB  ,, DDR2 533MHz","80 GB - 4200 rpm, 80 GB  ","12.10 inch 16:10, 1280 x 800 pixel, WXGA Truelife TFT, glossy: yes","1.27 kg ( = 44.8 oz / 2.8 pounds), Power Supply: 190 g ( = 6.7 oz / 0.42 pounds)",466 Euro
Dell Latitude E5500,2009,Intel Core 2 Duo T7250,Intel Graphics Media Accelerator (GMA) 4500MHD,"2048 MB  ,, DDR2 PC6400, 2x1024MB, max. 4096MB","160 GB - 5400 rpm, 160 GB  ","15.40 inch 16:10, 1440 x 900 pixel, WXGA+ TFT, glossy: no","2.92 kg ( = 103 oz / 6.44 pounds), Power Supply: 380 g ( = 13.4 oz / 0.84 pounds)",750 Euro
Dell Latitude E5500,2009,Intel Core 2 Duo T7250,Intel Graphics Media Accelerator (GMA) 4500MHD,"2048 MB  ,, DDR2 PC6400, 2x1024MB, max. 4096MB","160 GB - 5400 rpm, 160 GB  ","15.40 inch 16:10, 1440 x 900 pixel, WXGA+ TFT, glossy: no","2.92 kg ( = 103 oz / 6.44 pounds), Power Supply: 380 g ( = 13.4 oz / 0.84 pounds)",750 Euro
HP ProBook 4310s,2009,Intel Core 2 Duo T6670,Intel Graphics Media Accelerator (GMA) 4500MHD,"3 GB  ,, PC3-10700, 2048+1024MB","Hitachi Travelstar 7K320 HTS723232L9A360, 320 GB  ","13.30 inch 16:9, 1366 x 768 pixel, LED HD BrightView, glossy: yes","2.06 kg ( = 72.66 oz / 4.54 pounds), Power Supply: 420 g ( = 14.82 oz / 0.93 pounds)",750 Euro
HP Pavilion dm3-1010eg,2009,AMD Athlon Neo X2 L335,ATI Mobility Radeon HD 4330,"4 GB  ,, PC2-6400 (DDR2)","Seagate Momentus 7200.4 ST9320423AS, 320 GB  ","13.30 inch 16:9, 1366 x 768 pixel, glossy: yes","1.9 kg ( = 67.02 oz / 4.19 pounds), Power Supply: 390 g ( = 13.76 oz / 0.86 pounds)",750 Euro
HP Pavilion dv3-2210eg,2009,Intel Core 2 Duo T6600,NVIDIA GeForce G 105M,"4 GB  ,, DDR2-800","Seagate Momentus 7200.4 ST9500420ASG, 500 GB  ","13.30 inch 16:9, 1366 x 768 pixel, Touchscreen, glossy: yes","2.36 kg ( = 83.25 oz / 5.2 pounds), Power Supply: 530 g ( = 18.7 oz / 1.17 pounds)",899 Euro
HP Mini 5101,2009,Intel Atom N280,Intel Graphics Media Accelerator (GMA) 950,"1024 MB  ,, DDR2 PC2-6400, 1x1024MB, max. 2048MB","Seagate Momentus 7200.3 ST9160411AS, 160 GB  ","10.10 inch 16:9, 1366 x 768 pixel, WSVGA LED HD FTF, glossy: no","1.2 kg ( = 42.33 oz / 2.65 pounds), Power Supply: 360 g ( = 12.7 oz / 0.79 pounds)",500 Euro
HP ProBook 5310m,2009,Intel Core 2 Duo SP9300,Intel Graphics Media Accelerator (GMA) 4500MHD,"2048 MB  ,, DDR3 SDRAM, PC3 8500, 1066 MHz","Seagate Momentus 7200.4 ST9320423AS, 320 GB  ","13.30 inch 16:9, 1366 x 768 pixel, HD ready (720p), glossy: no","1.775 kg ( = 62.61 oz / 3.91 pounds), Power Supply: 260 g ( = 9.17 oz / 0.57 pounds)",
HP Pavilion dv6-1211sg,2009,Intel Pentium Dual Core T4200,ATI Mobility Radeon HD 4650,"4 GB  ,, DDR2","500 GB - 5400 rpm, 500 GB  ","15.60 inch 16:10, 1366 x 768 pixel, AUO10EC, glossy: yes","2.85 kg ( = 100.53 oz / 6.28 pounds), Power Supply: 520 g ( = 18.34 oz / 1.15 pounds)",
HP Envy 15,2009,Intel Core i7-720QM,ATI Mobility Radeon HD 4830,"8 GB  ,, DDR3 PC3-10700, 4x2048MB, max. 16GB,","Seagate Momentus 7200.4 ST9500420ASG, 500 GB  ","15.60 inch 16:9, 1366 x 768 pixel, HD LED BrightView TFT, glossy: yes","2.37 kg ( = 83.6 oz / 5.22 pounds), Power Supply: 770 g ( = 27.16 oz / 1.7 pounds)",1999 Euro
HP Pavilion dv6-1211sg,2009,Intel Pentium Dual Core T4200,ATI Mobility Radeon HD 4650,"4 GB  ,, DDR2","500 GB - 5400 rpm, 500 GB  ","15.60 inch 16:10, 1366 x 768 pixel, AUO10EC, glossy: yes","2.85 kg ( = 100.53 oz / 6.28 pounds), Power Supply: 520 g ( = 18.34 oz / 1.15 pounds)",
HP EliteBook 2530p,2009,Intel Core 2 Duo SL9400,Intel Graphics Media Accelerator (GMA) 4500MHD,"2048 MB  ,, 1xDDR2 ",", 120 GB  ","12.10 inch 16:10, 1280 x 800 pixel, glossy: no","1.74 kg ( = 61.38 oz / 3.84 pounds), Power Supply: 430 g ( = 15.17 oz / 0.95 pounds)",1500 Euro
HP Mini 2140,2009,Intel Atom N270,Intel Graphics Media Accelerator (GMA) 950,"1024 MB  ,, DDR2 PC2-6400, 1x1024MB, max. 2048MB (1 Slot)",", 160 GB  ","10.10 inch 16:9, 1024 x 576 pixel, HP Illumi-Lite LED, glossy: yes","1.17 kg ( = 41.27 oz / 2.58 pounds), Power Supply: 480 g ( = 16.93 oz / 1.06 pounds)",400 Euro
HP Pavilion HDX16,2009,Intel Core 2 Duo P8700,NVIDIA GeForce 9600M GT,"4 GB  ,, DDR2 PC2-6400","WDC Scorpio Blue WD5000BEVT, 500 GB  ","16.00 inch 16:9, 1920 x 1080 pixel, glossy: yes","3.15 kg ( = 111.11 oz / 6.94 pounds), Power Supply: 540 g ( = 19.05 oz / 1.19 pounds)",1300 Euro
HP ProBook 4310s,2009,Intel Core 2 Duo T6670,Intel Graphics Media Accelerator (GMA) 4500MHD,"3 GB  ,, PC3-10700, 2048+1024MB","Hitachi Travelstar 7K320 HTS723232L9A360, 320 GB  ","13.30 inch 16:9, 1366 x 768 pixel, LED HD BrightView, glossy: yes","2.06 kg ( = 72.66 oz / 4.54 pounds), Power Supply: 420 g ( = 14.82 oz / 0.93 pounds)",750 Euro
HP Mini 5101,2009,Intel Atom N280,Intel Graphics Media Accelerator (GMA) 950,"1024 MB  ,, DDR2 PC2-6400, 1x1024MB, max. 2048MB","Seagate Momentus 7200.3 ST9160411AS, 160 GB  ","10.10 inch 16:9, 1366 x 768 pixel, WSVGA LED HD FTF, glossy: no","1.2 kg ( = 42.33 oz / 2.65 pounds), Power Supply: 360 g ( = 12.7 oz / 0.79 pounds)",500 Euro
HP Pavilion dv6-1199eg,2009,AMD Turion X2 RM-75,ATI Mobility Radeon HD 4530,"4 GB  ,, DDR2, PC2-6400, 2x2048MB","Seagate Momentus 5400.5 ST9320320AS, 320 GB  ","15.60 inch 16:9, 1366 x 768 pixel, High-Definition BrightView Display, glossy: yes","2.89 kg ( = 101.94 oz / 6.37 pounds), Power Supply: 530 g ( = 18.7 oz / 1.17 pounds)",600 Euro
HP EliteBook 6930p ,2009,Intel Core 2 Duo T9400,Intel Graphics Media Accelerator (GMA) 4500MHD,"2048 MB  ,, DDR2 (800 MHz), 1x2048MB, max. 4096MB",", 160 GB  ","14.10 inch 16:10, 1280 x 800 pixel, glossy: no","2.35 kg ( = 82.89 oz / 5.18 pounds), Power Supply: 540 g ( = 19.05 oz / 1.19 pounds)",1450 Euro
HP Compaq Mini 701eg,2009,Intel Atom N270,Intel Graphics Media Accelerator (GMA) 950,"1024 MB  ,, DDR2 PC6400","60 GB - 4200 rpm, 60 GB  ","10.20 inch, 1024 x 600 pixel, WSVGA LED BrightView Display, glossy: yes","1.14 kg ( = 40.21 oz / 2.51 pounds), Power Supply: 320 g ( = 11.29 oz / 0.71 pounds)",400 Euro
